alpha,gamma,h,T_max,seed,N,loss_final,err_vs_yext_inf,residual_inf,residual_int_inf,residual_full_inf,L1_consistency_err,iters_adam,wall_time_s
1.1,2.6,0.4,30.0,0,75,0.00012488459135128298,0.15218168122878095,0.04816746060167176,0.04816746060167176,0.04816746060167176,0.2218426326466822,8000,4.05658483505249
1.1,2.6,0.4,30.0,1,75,0.00012473094297567664,0.143730764759123,0.04807160554934781,0.04807160554934781,0.04807160554934781,0.2218426326466822,8000,4.513054847717285
1.1,2.6,0.4,30.0,2,75,0.0001247968904775906,0.14607538098057687,0.04812164750106218,0.04812164750106218,0.04812164750106218,0.2218426326466822,8000,3.8654942512512207
1.1,2.6,0.4,30.0,3,75,0.00012476932178218705,0.14847109433493355,0.04807629603342056,0.04807629603342056,0.04807629603342056,0.2218426326466822,8000,5.047145128250122
1.1,2.6,0.4,30.0,4,75,0.00012496795669306773,0.14687801459687116,0.04822040688881302,0.04822040688881302,0.04822040688881302,0.2218426326466822,8000,3.975721836090088
1.1,2.6,0.2,30.0,0,150,7.316103377812568e-06,0.08955444504457843,0.01666235931034299,0.01666235931034299,0.01666235931034299,0.17127783792365192,8000,4.376276016235352
1.1,2.6,0.2,30.0,1,150,7.38396635800624e-06,0.0800064970818567,0.01685970917973889,0.01685970917973889,0.01685970917973889,0.17127783792365192,8000,4.39161229133606
1.1,2.6,0.2,30.0,2,150,7.281344261807837e-06,0.08047280949196212,0.01663161332930474,0.01663161332930474,0.01663161332930474,0.17127783792365192,8000,4.416752338409424
1.1,2.6,0.2,30.0,3,150,7.24152524985548e-06,0.08060554522800623,0.016400449043756704,0.016400449043756704,0.016400449043756704,0.17127783792365192,8000,4.993955850601196
1.1,2.6,0.2,30.0,4,150,7.3918070843159695e-06,0.08221381621499002,0.016859068356227858,0.016859068356227858,0.016859068356227858,0.17127783792365192,8000,4.401057004928589
1.1,2.6,0.1,30.0,0,300,4.700179361988699e-07,0.048869043778210774,0.006796488667408784,0.006796488667408784,0.006796488667408784,0.11410932553393671,8000,5.808887958526611
1.1,2.6,0.1,30.0,1,300,3.5883627263005935e-07,0.04049320378957988,0.005923561493344831,0.005923561493344831,0.005923561493344831,0.11410932553393671,8000,5.803653955459595
1.1,2.6,0.1,30.0,2,300,3.6678949194788024e-07,0.0409219884683677,0.00595646299429331,0.00595646299429331,0.00595646299429331,0.11410932553393671,8000,5.789480209350586
1.1,2.6,0.1,30.0,3,300,4.2987383021100506e-07,0.044558834740433206,0.00653944159210107,0.00653944159210107,0.00653944159210107,0.11410932553393671,8000,5.7891669273376465
1.1,2.6,0.1,30.0,4,300,3.606194830305964e-07,0.04325745679907622,0.00586253880472265,0.00586253880472265,0.00586253880472265,0.11410932553393671,8000,5.789403915405273
1.1,2.6,0.05,30.0,0,600,2.336779147940217e-08,0.025855186499926797,0.0018152785025478124,0.0018152785025478124,0.0018152785025478124,0.06302340541350038,8000,6.470227956771851
1.1,2.6,0.05,30.0,1,600,2.3056954643955456e-08,0.020015723626413462,0.0016805923962170954,0.0016805923962170954,0.0016805923962170954,0.06302340541350038,8000,8.555296897888184
1.1,2.6,0.05,30.0,2,600,2.2439593214196058e-08,0.01966322224810857,0.001701485725803642,0.001701485725803642,0.001701485725803642,0.06302340541350038,8000,6.521636009216309
1.1,2.6,0.05,30.0,3,600,2.4521642461480257e-08,0.023398537897893923,0.001796163188120925,0.001796163188120925,0.001796163188120925,0.06302340541350038,8000,6.493231773376465
1.1,2.6,0.05,30.0,4,600,2.4540226942518134e-08,0.02214275550704159,0.001792632582044873,0.001792632582044873,0.001792632582044873,0.06302340541350038,8000,6.5012030601501465
1.1,2.6,0.025,30.0,0,1200,1.3716576316812014e-09,0.014467101477651845,0.0005843553784427025,0.0005843553784427025,0.0005843553784427025,0.03233937903433959,8000,19.893579959869385
1.1,2.6,0.025,30.0,1,1200,2.4957675441886823e-09,0.0087397852872807,0.0006743474615312772,0.0006743474615312772,0.0006743474615312772,0.03233937903433959,8000,26.09492516517639
1.1,2.6,0.025,30.0,2,1200,1.7824841761537405e-09,0.0085860250902825,0.0005366887986167912,0.0005366887986167912,0.0005366887986167912,0.03233937903433959,8000,19.906102180480957
1.1,2.6,0.025,30.0,3,1200,2.0909565812422462e-09,0.011992147733815961,0.0006479611081456893,0.0006479611081456893,0.0006479611081456893,0.03233937903433959,8000,26.22758412361145
1.1,2.6,0.025,30.0,4,1200,3.097233020081192e-09,0.01066403359567436,0.0006514361807764546,0.0006514361807764546,0.0006514361807764546,0.03233937903433959,8000,19.972220182418823
1.1,2.6,0.0125,30.0,0,2400,1.2389564920044378e-09,0.008936112490605441,0.0004121302112627401,0.0004121302112627401,0.0004121302112627401,0.016190902908439275,8000,73.38788604736328
1.1,2.6,0.0125,30.0,1,2400,1.3282486274380152e-09,0.0028888365953262385,0.00044635175769358604,0.00044635175769358604,0.00044635175769358604,0.016190902908439275,8000,73.4933729171753
1.1,2.6,0.0125,30.0,2,2400,1.5444149442626446e-09,0.0029135564407688497,0.0003581126936736956,0.0003581126936736956,0.0003581126936736956,0.016190902908439275,8000,74.54958701133728
1.1,2.6,0.0125,30.0,3,2400,1.6396960695478903e-09,0.00632454678028449,0.0004622120004231789,0.0004622120004231789,0.0004622120004231789,0.016190902908439275,8000,73.39305996894836
1.1,2.6,0.0125,30.0,4,2400,2.8026812603908092e-09,0.004946480250781704,0.00046427156699735406,0.00046427156699735406,0.00046427156699735406,0.016190902908439275,8000,73.24955224990845
1.1,3.1,0.4,30.0,0,75,0.00019527835064168472,0.13494396081429572,0.06016074560647938,0.06016074560647938,0.06016074560647938,0.23728317961950374,8000,4.264913320541382
1.1,3.1,0.4,30.0,1,75,0.00019504320263943946,0.13783672122209872,0.06012621214484776,0.06012621214484776,0.06012621214484776,0.23728317961950374,8000,3.945892095565796
1.1,3.1,0.4,30.0,2,75,0.0001950185835767877,0.1381867029718622,0.060113153026444044,0.060113153026444044,0.060113153026444044,0.23728317961950374,8000,3.0769739151000977
1.1,3.1,0.4,30.0,3,75,0.0001950682514458743,0.13804944222672832,0.060148944013342864,0.060148944013342864,0.060148944013342864,0.23728317961950374,8000,3.9225409030914307
1.1,3.1,0.4,30.0,4,75,0.00019529925159106766,0.13791206675160816,0.060319239236232614,0.060319239236232614,0.060319239236232614,0.23728317961950374,8000,3.9133832454681396
1.1,3.1,0.2,30.0,0,150,1.2982315600626828e-05,0.08054076504500302,0.02213658943818031,0.02213658943818031,0.02213658943818031,0.18587263464756076,8000,4.280329942703247
1.1,3.1,0.2,30.0,1,150,1.3082685651995596e-05,0.07842553110842759,0.022394922760821778,0.022394922760821778,0.022394922760821778,0.18587263464756076,8000,4.9672722816467285
1.1,3.1,0.2,30.0,2,150,1.2955858274715349e-05,0.08045862480316623,0.02194251120282731,0.02194251120282731,0.02194251120282731,0.18587263464756076,8000,4.836176872253418
1.1,3.1,0.2,30.0,3,150,1.2988476564426586e-05,0.07951601131033842,0.022225002567400676,0.022225002567400676,0.022225002567400676,0.18587263464756076,8000,4.368429899215698
1.1,3.1,0.2,30.0,4,150,1.3035097759095644e-05,0.07864716284077139,0.022256862083089746,0.022256862083089746,0.022256862083089746,0.18587263464756076,8000,4.370801210403442
1.1,3.1,0.1,30.0,0,300,5.031269821798075e-07,0.04435021320166577,0.006348807958036939,0.006348807958036939,0.006348807958036939,0.13170045666605046,8000,6.1279261112213135
1.1,3.1,0.1,30.0,1,300,6.492254214587925e-07,0.04210916412524768,0.007904620387379269,0.007904620387379269,0.007904620387379269,0.13170045666605046,8000,5.7617669105529785
1.1,3.1,0.1,30.0,2,300,5.778030661513945e-07,0.04187014453913296,0.007382894551135166,0.007382894551135166,0.007382894551135166,0.13170045666605046,8000,5.774087905883789
1.1,3.1,0.1,30.0,3,300,5.636880898119918e-07,0.04246704167707338,0.007148363046826867,0.007148363046826867,0.007148363046826867,0.13170045666605046,8000,5.979523181915283
1.1,3.1,0.1,30.0,4,300,5.40313997175864e-07,0.04242763083661394,0.006875937145428002,0.006875937145428002,0.006875937145428002,0.13170045666605046,8000,5.870670795440674
1.1,3.1,0.05,30.0,0,600,4.916558998356092e-08,0.022552287119840364,0.0026567814404988566,0.0026567814404988566,0.0026567814404988566,0.07451725838553469,8000,6.5335869789123535
1.1,3.1,0.05,30.0,1,600,4.580951966368861e-08,0.021562194431235082,0.002373645379910694,0.002373645379910694,0.002373645379910694,0.07451725838553469,8000,6.525411128997803
